iter	Passed	Remaining
918	69087	43677
919	69179	43613
920	69258	43540
921	69339	43468
922	69419	43396
923	69502	43325
924	69590	43258
925	69674	43189
926	69754	43117
927	69830	43042
928	69926	42979
929	70002	42905
930	70081	42831
931	70174	42767
932	70259	42697
933	70344	42628
934	70433	42561
935	70531	42499
936	70620	42432
937	70705	42363
938	70796	42296
939	70878	42225
940	70960	42153
941	71042	42082
942	71128	42013
943	71213	41943
944	71298	41873
945	71383	41804
946	71470	41734
947	71552	41663
948	71629	41588
949	71703	41512
950	71788	41442
951	71866	41368
952	71956	41301
953	72049	41236
954	72141	41169
955	72236	41105
956	72328	41038
957	72412	40968
958	72498	40898
959	72581	40826
960	72667	40757
961	72752	40686
962	72832	40613
963	72920	40544
964	72999	40471
965	73075	40395
966	73148	40318
967	73226	40244
968	73313	40175
969	73410	40110
970	73496	40040
971	73578	39968
972	73664	39898
973	73746	39826
974	73849	39765
975	73946	39700
976	74035	39632
977	74115	39558
978	74201	39488
979	74282	39415
980	74365	39343
981	74447	39270
982	74543	39205
983	74640	39140
984	74733	39074
985	74819	39003
986	74907	38933
987	75003	38868
988	75096	38801
989	75189	38734
990	75287	38669
991	75375	38599
992	75461	38528
993	75546	38457
994	75630	38385
995	75711	38311
996	75793	38238
997	75877	38167
998	75959	38093
999	76038	38019
1000	76117	37944
1001	76200	37872
1002	76283	37799
1003	76370	37728
1004	76456	37657
1005	76553	37592
1006	76643	37522
1007	76730	37451
1008	76817	37381
1009	76905	37310
1010	76987	37237
1011	77075	37166
1012	77160	37094
1013	77242	37021
1014	77322	36947
1015	77402	36872
1016	77495	36804
1017	77581	36732
1018	77661	36658
1019	77743	36585
1020	77823	36510
1021	77923	36445
1022	78012	36375
1023	78096	36302
1024	78177	36228
1025	78260	36155
1026	78345	36083
1027	78431	36011
1028	78520	35940
1029	78605	35868
1030	78701	35801
1031	78804	35737
1032	78921	35679
1033	79057	35629
1034	79207	35585
1035	79321	35526
1036	79422	35460
1037	79523	35394
1038	79633	35332
1039	79733	35266
1040	79833	35200
1041	79935	35134
1042	80029	35065
1043	80117	34993
1044	80217	34927
1045	80328	34865
1046	80450	34808
1047	80564	34747
1048	80680	34687
1049	80797	34627
1050	80907	34564
1051	81012	34499
1052	81125	34437
1053	81236	34375
1054	81345	34311
1055	81454	34247
1056	81553	34179
1057	81650	34111
1058	81733	34036
1059	81816	33961
1060	81908	33890
1061	81999	33819
1062	82097	33750
1063	82187	33678
1064	82276	33605
1065	82360	33531
1066	82459	33462
1067	82555	33393
1068	82644	33320
1069	82733	33248
1070	82822	33175
1071	82902	33099
1072	82985	33023
1073	83066	32948
1074	83147	32872
1075	83237	32799
1076	83326	32727
1077	83424	32657
1078	83508	32582
1079	83595	32509
1080	83681	32435
1081	83761	32358
1082	83839	32281
1083	83919	32205
1084	84000	32129
1085	84084	32054
1086	84165	31978
1087	84248	31902
1088	84329	31826
1089	84409	31750
1090	84489	31673
1091	84571	31598
1092	84657	31523
1093	84755	31453
1094	84845	31381
1095	84929	31306
1096	85019	31233
1097	85102	31157
1098	85192	31084
1099	85271	31007
1100	85386	30943
1101	85473	30869
1102	85555	30793
1103	85634	30716
1104	85716	30640
1105	85791	30562
1106	85868	30484
1107	85945	30406
1108	86039	30335
1109	86132	30262
1110	86220	30188
1111	86312	30116
1112	86406	30044
1113	86493	29969
1114	86572	29892
1115	86653	29816
1116	86747	29744
1117	86824	29666
1118	86903	29589
1119	86992	29515
1120	87076	29439
1121	87158	29363
1122	87243	29288
1123	87335	29215
1124	87426	29142
1125	87515	29068
1126	87603	28993
1127	87696	28921
1128	87787	28847
1129	87879	28774
1130	87966	28699
1131	88047	28623
1132	88130	28547
1133	88212	28470
1134	88296	28394
1135	88377	28318
1136	88459	28241
1137	88536	28163
1138	88610	28084
1139	88692	28008
1140	88776	27932
1141	88867	27858
1142	88950	27782
1143	89029	27705
1144	89117	27630
1145	89205	27555
1146	89289	27479
1147	89375	27404
1148	89455	27327
1149	89543	27252
1150	89633	27178
1151	89713	27101
1152	89791	27022
1153	89872	26946
1154	89951	26868
1155	90025	26789
1156	90103	26711
1157	90183	26634
1158	90276	26560
1159	90370	26487
1160	90447	26409
1161	90527	26332
1162	90615	26257
1163	90696	26180
1164	90783	26105
1165	90868	26029
1166	90950	25952
1167	91034	25876
1168	91122	25801
1169	91223	25729
1170	91308	25653
1171	91382	25574
1172	91463	25497
1173	91544	25420
1174	91619	25341
1175	91695	25262
1176	91770	25184
1177	91848	25106
1178	91929	25029
