iter	Passed	Remaining
1265	81342	15034
1266	81408	14971
1267	81474	14907
1268	81537	14842
1269	81598	14777
1270	81659	14712
1271	81719	14647
1272	81779	14582
1273	81839	14517
1274	81900	14452
1275	81960	14388
1276	82019	14322
1277	82080	14258
1278	82145	14193
1279	82204	14128
1280	82265	14064
1281	82325	13999
1282	82385	13934
1283	82447	13869
1284	82507	13804
1285	82571	13740
1286	82631	13675
1287	82690	13610
1288	82750	13545
1289	82809	13480
1290	82870	13415
1291	82933	13351
1292	82996	13287
1293	83057	13222
1294	83118	13157
1295	83180	13093
1296	83242	13028
1297	83305	12964
1298	83367	12899
1299	83429	12835
1300	83490	12770
1301	83550	12705
1302	83612	12641
1303	83672	12576
1304	83734	12511
1305	83796	12447
1306	83858	12383
1307	83921	12318
1308	83985	12254
1309	84046	12189
1310	84106	12125
1311	84168	12060
1312	84228	11995
1313	84290	11931
1314	84354	11867
1315	84416	11802
1316	84480	11738
1317	84541	11674
1318	84605	11610
1319	84664	11545
1320	84725	11480
1321	84786	11416
1322	84850	11351
1323	84913	11287
1324	84978	11223
1325	85039	11159
1326	85099	11094
1327	85162	11030
1328	85224	10965
1329	85286	10901
1330	85347	10836
1331	85407	10772
1332	85468	10707
1333	85528	10642
1334	85585	10577
1335	85645	10513
1336	85704	10448
1337	85767	10384
1338	85829	10320
1339	85889	10255
1340	85950	10190
1341	86012	10126
1342	86076	10062
1343	86141	9998
1344	86204	9934
1345	86267	9870
1346	86331	9805
1347	86392	9741
1348	86454	9677
1349	86516	9612
1350	86580	9548
1351	86640	9484
1352	86702	9420
1353	86767	9356
1354	86830	9291
1355	86889	9227
1356	86953	9163
1357	87013	9098
1358	87074	9034
1359	87134	8969
1360	87197	8905
1361	87257	8841
1362	87320	8776
1363	87383	8712
1364	87444	8648
1365	87507	8584
1366	87569	8519
1367	87631	8455
1368	87694	8391
1369	87760	8327
1370	87827	8263
1371	87891	8199
1372	87954	8135
1373	88017	8071
1374	88079	8007
1375	88181	7946
1376	88243	7882
1377	88304	7817
1378	88367	7753
1379	88431	7689
1380	88493	7625
1381	88555	7561
1382	88617	7496
1383	88681	7432
1384	88742	7368
1385	88805	7304
1386	88868	7240
1387	88933	7176
1388	88995	7111
1389	89056	7047
1390	89117	6983
1391	89180	6919
1392	89241	6854
1393	89300	6790
1394	89364	6726
1395	89426	6662
1396	89486	6597
1397	89546	6533
1398	89610	6469
1399	89670	6405
1400	89730	6340
1401	89795	6276
1402	89856	6212
1403	89917	6148
1404	89980	6084
1405	90041	6019
1406	90100	5955
1407	90162	5891
1408	90223	5827
1409	90287	5763
1410	90347	5698
1411	90409	5634
1412	90470	5570
1413	90532	5506
1414	90596	5442
1415	90654	5377
1416	90714	5313
